角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
库洛德莫,0:00:11.237000,1,1
库玛莉,0:00:34.821000,5,5
库珀,0:00:38.053000,7,7
库达里,0:00:49.460000,6,6
库马,0:00:14.451000,3,3
应公,0:00:01.297000,1,1
康介,0:00:27.584000,5,5
康妮,0:00:07.047000,1,1
康拉德,0:00:32.580000,7,7
康明,0:00:17.299000,4,4
康纳,0:10:20.121000,94,94
康胜,0:00:43.057000,6,6
开心的浮游水蕈兽,0:00:03.219000,3,3
异食的守卫,0:00:04.597000,1,1
式大将,0:25:20.175000,182,182
弗拉德,0:00:18.057000,6,6
弗朗西斯,0:00:08.619000,2,2
弗洛朗,0:08:11.636000,85,85
弗莱琪,0:00:12.984000,3,3
弘毅,0:00:02.717000,1,1
张大姐,0:01:54.963000,17,17
张顺,0:00:15.332000,3,3
弥生七月,0:00:03.724000,1,1
弥诺,0:00:06.387000,2,2
强叔,0:00:11.157000,1,1
彦博,0:00:01.628000,1,1
彩香,0:00:58.503000,14,14
彼得,0:00:05.441000,2,2
往日的黑蛇骑士,0:00:19.529000,5,5
徐六石,0:03:28.905000,32,32
御舆源一郎,0:00:19.559000,4,4
御舆源次郎,0:00:06.219000,1,1
御舆长正,0:00:10.984000,2,2
德利瓦,0:00:30.357000,5,5
德安公,0:00:21.625000,4,4
德富,0:00:44.301000,9,9
德尔菲娜,0:00:06.555000,3,3
德帕里,0:00:00.537000,1,1
德拉夫什,0:01:13.820000,13,13
德拉萝诗,0:04:48.116000,29,29
德沃沙克,0:11:24.565000,111,111
德田,0:05:19.065000,45,45
德贵,0:00:02.867000,1,1
德赛,0:00:01.180000,1,1
德长,0:00:09.727000,3,3
忍犬,0:00:06.712000,4,4
志华,0:00:04.691000,1,1
志成,0:00:20.304000,3,3
志村勘兵卫,0:00:27.817000,6,6
志穗,0:00:02.741000,1,1
志织,0:00:41.721000,4,4
忠夫,0:00:54.604000,10,10
忠常,0:01:01.793000,10,10
忠明,0:01:26.316000,13,13
忠胜,0:00:49.396000,12,12
忠诚的侍从,0:02:18.408000,31,31
快刀陈,0:01:06.637000,17,17
快拳阿凌,0:00:05.367000,1,1
快腿罗斯,0:00:02.819000,1,1
怀尔德,0:00:02.531000,1,1
怀疑的观众,0:00:06.731000,1,1
思勤,0:00:23.296000,4,4
思妤,0:00:06.408000,1,1
思思,0:00:06.392000,2,2
思索的观众,0:00:07.252000,1,1
思考的观众,0:00:12.871000,2,2
恍然大悟的观众,0:00:13.537000,2,2
恐慌的佣兵,0:00:11.355000,2,2
恒雄,0:00:47.396000,10,10
恕筠,0:08:31.125000,58,58
恩内斯特,0:00:35.188000,9,9
恩古尔,0:00:13.144000,2,2
恩忒卡,0:00:09.009000,2,2
恰马卡,0:00:15.535000,2,2
恶龙,0:06:09.572000,57,57
悉度,0:00:34.795000,5,5
悠也,0:00:31.204000,6,6
悠策,0:02:49.572000,25,25
悠闲的男子,0:00:05.012000,1,1
悦,0:05:18.817000,44,44
悦子,0:00:01.965000,1,1
悬帆,0:00:02.772000,1,1
惊讶的浮游水蕈兽,0:00:01.041000,1,1
惊讶的观众,0:00:39.659000,9,9
惟神晴之介,0:00:41.027000,5,5
意犹未尽的观众,0:00:04.599000,1,1
愚人众,0:00:13.840000,5,5
愚人众·安德烈,0:00:44.392000,11,11
愚人众·米哈伊尔,0:00:22.037000,9,9
愚人众·马克西姆,0:00:42.204000,7,7
愚人众先遣队,0:01:20.341000,23,23
愚人众士兵,0:00:18.276000,5,5
愚人众士官,0:01:31.921000,16,16
愚人众新兵,0:00:33.900000,12,12
感慨的观众,0:00:16.515000,2,2
慕胜,0:00:14.916000,4,4
慧心,0:05:43.135000,65,65
戈尔代,0:01:31.567000,19,19
戈尔珊,0:00:07.424000,2,2
戈莉,0:00:30.259000,5,5
戎世,0:01:06.193000,13,13
成濑,0:01:13.191000,16,16
戟,0:00:00.969000,1,1
戴因斯雷布,0:46:34.687000,496,496
戴派,0:02:14.741000,22,22
户田,0:00:13.435000,3,3
手岛,0:03:45.281000,27,27
扎伊,0:00:04.832000,2,2
扎凯,0:00:04.424000,2,2
扎卡里亚,0:00:09.735000,2,2
扎莱,0:00:06.336000,2,2
扎蒂斯,0:00:35.176000,5,5
打抱不平的观众,0:00:06.753000,1,1
托克,0:10:36.520000,164,164
托马,1:24:32.980000,905,905
担忧的观众,0:00:09.360000,1,1
拉伊德,0:04:20.195000,37,37
拉凯什,0:00:02.216000,1,1
拉姆齐,0:00:04.120000,1,1
拉巴哈,0:00:52.431000,10,10
拉库马尔,0:00:35.564000,4,4
拉扎克,0:00:07.671000,2,2
拉斯蒂涅,0:01:01.020000,9,9
拉杜,0:00:32.311000,5,5
拉特什,0:00:24.415000,4,4
拉玛,0:00:21.055000,3,3
拉米兹,0:00:12.520000,4,4
拉菲克,0:00:15.436000,4,4
拉贾维,0:00:08.689000,2,2
拉赫曼,0:14:08.443000,133,133
拉韦兰,0:01:48.916000,22,22
拉齐,0:06:20.155000,70,70
拓真,0:01:16.104000,13,13
拜伊,0:00:08.119000,2,2
拜德尔,0:00:28.067000,4,4
挑食的守卫,0:00:02.904000,1,1
振翔,0:00:01.979000,1,1
掇星攫辰天君,0:07:23.800000,62,62
接待员,0:00:17.576000,2,2
推广员,0:01:46.273000,13,13
提克里蒂,0:00:55.817000,14,14
提尔贝特,0:00:30.760000,5,5
提普,0:01:08.968000,10,10
提米,0:00:29.072000,7,7
提纳里,1:55:16.539000,1025,1025
提问者,0:01:45.724000,18,18
摆渡人,0:00:59.975000,15,15
摩可,0:00:02.335000,1,1
摩婕娜,0:00:23.771000,3,3
摸鱼守卫,0:00:10.213000,3,3
撒比特,0:00:04.473000,1,1
支支,0:00:40.640000,8,8
收货人,0:00:02.189000,1,1
效言,0:00:05.500000,1,1
敏锐的武人,0:00:27.441000,3,3
教令院卫兵,0:00:49.792000,16,16
教令院卫队长,0:00:47.607000,8,8
教令院学者,0:00:05.993000,1,1
文泽,0:00:04.451000,1,1
文渊,0:01:37.453000,16,16
文璟,0:01:18.279000,8,8
斑目百兵卫,0:01:52.659000,14,14
斯万,0:02:16.353000,30,30
斯嘉莉,0:04:04.524000,43,43
斯坦利,0:06:24.461000,65,65
斯里玛蒂,0:00:55.079000,4,4
新之丞,0:03:31.027000,47,47
旁白,0:15:45.192000,124,124
旋转火蕈兽,0:00:01.232000,1,1
旋转雷蕈兽,0:00:04.716000,3,3
无奈的守卫,0:00:05.596000,1,1
无奈的观众,0:00:06.560000,2,2
无怨,0:00:03.284000,1,1
早柚,1:03:07.240000,624,624
昆恩,0:02:30.349000,28,28
昆钧,0:18:09.697000,147,147
昌信,0:00:18.073000,5,5
昌虎,0:02:16.269000,23,23
昌贵,0:00:36.601000,7,7
明俊,0:01:35.215000,15,15
明博,0:01:26.691000,18,18
昏睡的病患,0:00:11.841000,2,2
星火,0:01:05.611000,14,14
星稀,0:05:18.623000,47,47
星辰君,0:00:03.452000,1,1
春水,0:00:05.685000,1,1
晋优,0:01:56.623000,17,17
晓东,0:00:06.385000,2,2
晓月左卫门十藏,0:00:03.775000,1,1
晓飞,0:00:37.628000,9,9
普吕姆,0:00:01.123000,1,1
普扬,0:00:31.632000,6,6
普热瓦,0:00:04.157000,2,2
普里亚,0:00:16.525000,3,3
普里耶,0:01:15.212000,16,16
景明,0:01:59.739000,17,17
景澄,0:01:17.699000,13,13
智树,0:03:35.449000,49,49
暮夜剧团团长,0:03:34.217000,35,35
暴躁的守卫,0:00:07.085000,2,2
曜,0:00:15.904000,4,4
曼苏尔,0:00:11.807000,2,2
曼达娜,0:00:06.963000,2,2
替班守卫,0:00:18.495000,4,4
月疏,0:00:03.788000,1,1
有泽,0:01:14.575000,9,9
有翼草本真蕈,0:00:06.332000,5,5
有香,0:00:40.653000,8,8
朋义,0:02:24.691000,24,24
朔次郎,0:03:41.648000,45,45
望月,0:00:03.477000,1,1
望雅,0:04:59.155000,54,54
朝仓,0:00:02.103000,1,1
朝南,0:00:03.540000,1,1
朝雾,0:00:03.155000,1,1
木下,0:00:10.028000,7,7
木南杏奈,0:03:35.728000,40,40
木木,0:02:24.176000,24,24
木村,0:03:00.131000,39,39
木鲁瓦,0:00:15.031000,4,4
未来,0:00:01.800000,1,1
本,0:00:51.335000,7,7
札齐,0:03:24.401000,31,31
朱利亚诺,0:01:23.837000,13,13
朱巴,0:01:21.077000,11,11
朱特,0:01:59.681000,23,23
朱老板,0:01:09.837000,13,13
朱达尔,0:01:41.120000,13,13
朱里厄,0:02:45.092000,31,31
朱陶,0:00:56.313000,8,8
机械螃蟹,0:00:06.964000,5,5
杉山,0:00:04.436000,1,1
杉本,0:00:35.385000,7,7
李丁,0:03:30.052000,28,28
李九郎,0:00:05.553000,1,1
李小虎,0:00:02.860000,1,1
李当,0:01:21.563000,20,20
李晓,0:00:06.928000,2,2
李锤子,0:00:16.528000,3,3
村上,0:00:39.968000,10,10
村山,0:00:02.203000,1,1
村民,0:00:02.221000,2,2
村田,0:02:44.541000,26,26
杜兰,0:00:07.133000,3,3
杜吉耶,0:08:07.687000,64,64
杜拉夫,0:13:45.859000,133,133
杜莎,0:00:03.191000,1,1
杞平,0:00:25.015000,4,4
杰克,0:04:44.149000,57,57
杰夫,0:00:29.595000,5,5
杰娜姬,0:02:17.604000,25,25
杰巴里,0:01:04.193000,10,10
杰拉德,0:00:10.097000,3,3
杰洛尼,0:02:53.991000,36,36
杰萨尔,0:01:12.975000,11,11
杰赫南,0:00:06.052000,2,2
杰里,0:00:08.059000,2,2
松前,0:00:10.003000,2,2
松坂,0:01:28.792000,20,20
松川宗全,0:00:03.732000,1,1
松平,0:00:05.837000,2,2
松本,0:00:31.707000,5,5
松浦,0:06:35.583000,67,67
松田,0:00:58.700000,11,11
林尼,1:41:57.952000,882,882
枫,0:01:52.171000,21,21
枫原万叶,1:59:43.713000,1128,1128
枫原久通,0:01:00.348000,7,7
枫原义庆,0:01:13.197000,7,7
枫原景春,0:02:24.268000,19,19
枭总管,0:00:12.529000,3,3
柊千里,0:13:07.133000,114,114
柊慎介,0:01:53.991000,21,21
某人的喊声,0:00:03.212000,2,2
某人的声音,0:01:57.935000,19,19
柚子,0:00:33.895000,5,5
查尔斯,0:08:41.860000,98,98
查耶维奇,0:00:07.393000,2,2
柯奈尔,0:00:27.063000,6,6
柯莉黛尔,0:00:41.639000,6,6
柯莱,1:20:09.812000,810,810
柳德米拉,0:00:37.195000,9,9
柴毅,0:01:40.283000,14,14
柴田,0:02:14.748000,21,21
柴门二郎,0:00:04.047000,1,1
柴门克巳,0:00:05.531000,1,1
柴门惠理,0:00:04.143000,1,1
格伦德·雪奈茨维奇,0:00:29.415000,6,6
格兰维尔,0:01:47.543000,20,20
格奥尔格,0:01:08.188000,11,11
格拉西亚,0:01:19.184000,13,13
格莱,0:00:16.989000,3,3
格蕾希艾,0:00:02.659000,1,1
格雷戈,0:00:03.576000,1,1
格雷戈尔,0:00:10.320000,3,3
桂一,0:00:45.541000,11,11
桂木,0:00:40.319000,7,7
桃子,0:00:03.616000,1,1
桐本,0:00:04.511000,1,1
桑杰,0:00:08.961000,2,2
桑迪诺,0:00:09.492000,1,1
桥本,0:00:14.228000,3,3
桥西,0:00:02.611000,1,1
梅尔克,0:00:13.665000,3,3
梅瑟娜,0:00:06.527000,2,2
梅薇丝,0:00:10.017000,2,2
梢,0:01:58.879000,18,18
梨绘,0:00:16.740000,4,4
梨香,0:00:02.227000,1,1
梵米尔,0:00:05.845000,1,1
梶,0:00:02.939000,2,2
森口,0:00:06.680000,2,2
森彦,0:01:55.771000,23,23
楚仪,0:02:13.844000,21,21
楚婆婆,0:00:02.980000,1,1
楠塔克,0:00:04.947000,1,1
楠楠,0:01:54.397000,23,23
榎本,0:01:08.515000,10,10
模样怪异的士兵,0:00:41.952000,8,8
横山,0:00:21.252000,6,6
欣慰的观众,0:00:07.004000,1,1
欧莉艾尔,0:00:52.175000,9,9
欧菲妮,0:24:34.732000,146,146
歌德,0:00:59.616000,10,10
歌特琳德,0:01:24.955000,22,22
正二,0:01:05.828000,11,11
正人,0:01:50.021000,16,16
正胜,0:00:12.787000,4,4
正茂,0:00:19.649000,5,5
步云,0:00:38.900000,7,7
武士头领,0:00:17.055000,2,2
武沛,0:01:09.109000,13,13
武田,0:00:04.492000,1,1
毅,0:00:48.943000,11,11
母亲,0:00:25.288000,3,3
毓华,0:00:52.637000,10,10
比塔,0:00:05.417000,2,2
比罗,0:01:22.228000,15,15
毕洛,0:00:05.312000,2,2
毗伽尔,0:06:38.397000,61,61
气泡C,0:00:02.836000,1,1
气泡D,0:00:01.115000,1,1
气泡E,0:00:02.063000,1,1
水手,0:00:01.603000,1,1
水田,0:00:14.207000,2,2
水的声音,0:01:01.103000,9,9
永业,0:00:07.621000,2,2
永安,0:00:36.336000,6,6
永贵,0:00:08.303000,2,2
永野,0:00:37.712000,5,5
汐零,0:00:03.155000,1,1
汝英,0:00:04.503000,2,2
江城,0:00:05.785000,1,1
江舟,0:01:36.937000,16,16
江蓠,0:03:34.560000,27,27
江雪,0:00:10.805000,3,3
池田总四郎,0:00:05.616000,2,2
汤米,0:00:05.661000,1,1
汤雯,0:00:10.604000,2,2
沃恩,0:01:21.465000,14,14
沃特林,0:03:06.101000,30,30
沉思的观众,0:00:37.571000,7,7
沉稳的观众,0:00:04.417000,1,1
沉香,0:00:04.052000,1,1
沐宁,0:00:04.723000,1,1
沐晨,0:00:03.028000,1,1
沙坎,0:02:01.141000,16,16
沙姆斯,0:00:16.776000,4,4
沙寅,0:02:52.711000,22,22
沙扎曼,0:06:45.396000,50,50
沙扬,0:00:05.887000,2,2
沙拉夫,0:00:11.224000,3,3
沙普尔,0:00:05.633000,2,2
沙欣,0:00:07.177000,2,2
沙班达尔,0:00:08.823000,2,2
沙瓦玛,0:00:11.535000,2,2
沙蒂尔,0:00:12.893000,3,3
沙赫布特,0:01:26.721000,17,17
河童,0:01:51.929000,25,25
治一郎,0:00:40.797000,6,6
法乌菈,0:00:29.248000,4,4
法伊兹,0:03:14.345000,34,34
法伯德,0:00:08.307000,2,2
法伽尼,0:00:13.441000,3,3
法加娜,0:00:14.839000,4,4
法卢克,0:00:04.373000,2,2
法哈德,0:02:44.595000,34,34
法图赫,0:00:13.736000,2,2
法尔扎妮,0:00:08.707000,2,2
法尔罗赫,0:01:11.332000,12,12
法拉,0:01:03.816000,10,10
法拉娜,0:03:46.585000,16,16
法拉纳兹,0:00:12.975000,2,2
法莉哈,0:00:09.407000,2,2
法莉巴,0:00:14.508000,4,4
法莎,0:00:02.576000,1,1
法赫尔,0:02:21.897000,17,17
法里德,0:00:12.873000,3,3
波林,0:00:45.717000,11,11
波洛,0:07:18.655000,68,68
泰久,0:00:04.319000,1,1
泰勒,0:00:45.871000,11,11
泰托,0:01:35.268000,16,16
泽田,0:05:15.452000,39,39
泽维尔,0:18:39.835000,158,158
泽轩,0:00:01.935000,1,1
洛伦佐,0:05:43.065000,41,41
洛伽,0:00:02.100000,1,1
洛恩,0:02:23.793000,24,24
洛成,0:01:42.584000,20,20
洛泰尔,0:00:45.201000,5,5
派安,0:00:53.159000,9,9
派恩,0:01:01.572000,9,9
派蒙,24:38:43.821000,18619,18619
流浪者,0:52:23.120000,565,565
浅川,0:00:38.559000,6,6
浅野,0:00:07.244000,2,2
浣溪,0:00:04.820000,1,1
浩司,0:01:15.608000,16,16
浪人,0:01:01.032000,7,7
浮游水蕈兽,0:00:26.547000,17,17
浮游风蕈兽,0:00:04.092000,3,3
浮舍,0:00:02.621000,1,1
海伦,0:00:02.937000,1,1
海伯,0:00:12.635000,2,2
海妮耶,0:09:43.564000,87,87
海娜,0:00:16.100000,4,4
海宁,0:00:40.771000,12,12
海斗,0:00:37.872000,9,9
海祇岛众人,0:00:01.152000,1,1
海老名权四郎,0:00:08.455000,2,2
海芭夏,0:13:24.448000,107,107
海莉,0:00:01.833000,1,1
海达,0:00:35.373000,10,10
海迪夫,0:00:02.036000,1,1
海龙,0:01:14.065000,15,15
淑之,0:00:06.748000,1,1
淮安,0:03:46.779000,39,39
深渊法师,0:05:05.425000,53,53
深渊法师·亚忒勒,0:00:23.621000,4,4
深见,0:01:27.551000,13,13
混乱的观众,0:00:04.905000,1,1
清人,0:00:22.760000,4,4
清刚,0:01:23.543000,14,14
清子,0:00:01.851000,1,1
清惠,0:01:29.660000,14,14
清昼,0:00:10.685000,1,1
清水,0:01:40.409000,12,12
渡部,0:01:40.795000,20,20
温柔的女声,0:00:15.756000,1,1
温迪,1:55:43.727000,1245,1245
游客,0:00:08.543000,2,2
溜溜,0:00:50.824000,10,10
滑头鬼,0:00:03.160000,1,1
满,0:00:09.259000,2,2
潮哥,0:01:06.789000,11,11
潮汐,0:00:02.721000,1,1
澜阳,0:00:34.920000,7,7
激动的观众,0:00:02.692000,1,1
火炽之心,0:01:26.229000,14,14
烟绯,1:14:24.915000,655,655
熙德拉,0:00:39.717000,6,6
爱德琳,0:13:26.435000,123,123
爱洛芙,0:00:41.757000,10,10
爱贝尔,0:33:59.815000,235,235
父亲,0:00:17.503000,2,2
片山,0:00:02.064000,1,1
牙,0:00:00.592000,1,1
牛志,0:00:17.731000,3,3
特洛黛,0:00:02.428000,1,1
特瓦林,0:00:39.529000,9,9
特纳,0:04:07.156000,34,34
犬少将,0:00:04.685000,3,3
犹豫的佣兵,0:00:01.264000,1,1
狐妖,0:03:10.293000,40,40
狗三儿,0:01:47.049000,22,22
独孤朔,0:03:30.037000,33,33
独眼小僧,0:02:20.221000,36,36
狼哥,0:02:33.077000,25,25
玄三,0:00:03.223000,1,1
王平安,0:00:04.240000,1,1
王扳子,0:00:15.829000,3,3
玛乔丽,0:10:20.031000,114,114
玛亚姆,0:00:08.668000,2,2
玛克林,0:00:03.441000,1,1
玛塔莉,0:00:13.012000,4,4
玛塞勒,0:09:25.872000,97,97
玛尔瓦,0:00:33.092000,5,5
玛希德,0:00:15.857000,4,4
玛拉,0:00:14.057000,3,3
玛文,0:02:09.229000,18,18
玛格丽特,0:08:34.197000,96,96
玛维斯,0:01:09.705000,11,11
玛蕾蒂,0:01:47.247000,13,13
玛赫菲,0:00:11.381000,3,3
玛达赫,0:03:51.545000,29,29
玥文,0:00:11.515000,2,2
玥辉,0:03:00.867000,27,27
玫莉莎,0:00:06.568000,1,1
玲花,0:00:53.163000,9,9
玲菜,0:00:48.779000,6,6
玻瑞亚斯,0:03:46.745000,19,19
珀姆,0:00:10.877000,2,2
珊瑚,0:07:48.232000,78,78
珊瑚宫心海,1:27:33.309000,731,731
珐露珊,1:11:33.133000,651,651
珐露珊母亲,0:01:23.043000,10,10
珠函,0:02:53.765000,33,33
班卡,0:00:09.244000,3,3
班尼特,0:58:06.195000,691,691
班达克,0:00:16.619000,7,7
理性的观众,0:00:04.140000,1,1
理正,0:00:33.063000,4,4
理水叠山真君,0:05:05.656000,33,33
琪娜特,0:00:09.580000,2,2
琬玉,0:00:44.651000,9,9
琳,0:01:30.680000,28,28
琳妮特,0:26:22.917000,280,280
琳琅,0:02:24.711000,27,27
琳阳,0:00:03.260000,1,1
琴,0:55:57.111000,698,698
琴美,0:00:22.348000,7,7
琼斯,0:00:09.388000,2,2
瑛太,0:00:25.844000,5,5
瑞安维尔,0:02:41.451000,16,16
瑞锦,0:00:02.747000,1,1
瑶瑶,0:26:29.949000,199,199
瑾武,0:00:02.320000,1,1
璃彩,0:00:02.687000,1,1
璐璐,0:00:39.215000,7,7
瓦京,0:00:15.081000,4,4
瓦伊兹,0:01:00.795000,8,8
瓦妮塔,0:00:04.640000,1,1
瓦尔坦,0:00:09.789000,2,2
瓦希德,0:00:26.311000,3,3
瓦格纳,0:01:35.928000,26,26
瓦菲格,0:00:06.947000,1,1
甄强,0:00:03.795000,1,1
甘乐,0:00:03.964000,1,1
甘珠尔,0:00:01.604000,1,1
甘雨,0:52:30.040000,514,514
甜甜,0:00:06.221000,1,1
用高,0:00:29.103000,4,4
田铁嘴,0:09:53.845000,61,61
由宇,0:00:29.100000,4,4
由真,0:00:15.884000,4,4
甲斐田龙马,0:00:46.624000,7,7
申鹤,0:37:25.591000,363,363
男声,0:00:08.332000,1,1
男子汉杰克,0:00:01.505000,1,1
男性信众,0:01:04.237000,9,9
畅畅,0:02:35.847000,28,28
畑中,0:00:48.161000,10,10
留云借风真君,0:38:51.191000,237,237
疑惑的浮游水蕈兽,0:00:00.672000,1,1
疑惑的观众,0:00:48.195000,11,11
疲惫的村民,0:00:15.680000,4,4
白井,0:00:11.177000,2,2
白术,0:51:34.544000,362,362
百合华,0:00:38.860000,8,8
百晓,0:01:32.621000,18,18
百识,0:04:34.335000,48,48
百闻,0:06:36.684000,64,64
皮塔尔,0:00:28.304000,3,3
皮特,0:04:00.084000,46,46
皮雅,0:00:43.901000,8,8
盈丰,0:01:39.080000,26,26
盈珠,0:00:05.785000,1,1
盖伊,0:00:20.991000,5,5
盖曼,0:00:03.709000,1,1
盗宝团,0:00:11.951000,5,5
盗宝团众,0:00:01.607000,1,1
盗宝团头目,0:00:20.853000,3,3
盗宝团小弟,0:00:03.353000,1,1
直江久政,0:00:03.153000,1,1
真,0:02:17.696000,16,16
真昼,0:01:21.181000,10,10
真理,0:00:07.103000,2,2
真田,0:00:02.708000,1,1
眼神凛冽的夜鸦,0:00:22.169000,5,5
矢田幸喜,0:00:50.860000,10,10
矢部,0:00:45.016000,7,7
知易,0:06:57.148000,56,56
石原,0:00:21.152000,3,3
石壮,0:01:48.504000,17,17
石头,0:08:20.177000,64,64
石崎,0:00:55.993000,12,12
石川,0:00:04.245000,1,1
石榴,0:00:02.200000,1,1
石田,0:00:26.475000,8,8
矿工,0:00:11.427000,5,5
码头的工人,0:00:08.332000,1,1
砂糖,1:06:35.969000,624,624
碧波,0:00:02.735000,1,1
礼安,0:00:08.575000,3,3
祖莉亚·德斯特雷,0:11:25.267000,75,75
祝明,0:00:23.341000,3,3
神,0:00:08.244000,2,2
神奇的霍普金斯,0:01:13.816000,17,17
神情严肃的夜鸦,0:00:15.297000,7,7
神秘声音,0:00:18,3,3
神里绫人,1:08:11.853000,580,580
神里绫华,1:26:50.912000,882,882
祥生,0:00:26.695000,9,9
福图赫,0:00:06.380000,2,2
福本,0:00:19.380000,5,5
福迪尔,0:00:12.391000,2,2
福阿德,0:00:04.260000,2,2
秀华,0:00:07.548000,3,3
秀夫,0:01:10.736000,17,17
秋人,0:00:14.823000,3,3
秋月,0:00:54.073000,9,9
秋歌,0:00:04.252000,1,1
秋蔚,0:00:08.339000,2,2
科尔特,0:09:57.292000,85,85
科拉莉,0:02:27.444000,21,21
科林斯,0:05:50.599000,58,58
秦夫人,0:00:04.323000,1,1
程杆子,0:00:03.187000,1,1
稻城萤美,0:02:51.309000,29,29
稻生,0:02:22.259000,26,26
穆妮尔,0:01:00.403000,11,11
穆泰尔,0:00:52.815000,7,7
穆甘纳,0:00:03.044000,1,1
空,2:21:43.795000,375,375
立本,0:04:22.173000,30,30
竟达,0:00:03.044000,1,1
竹内,0:00:22.460000,5,5
竹叔,0:00:13.969000,2,2
竹谷,0:00:04.233000,2,2
竺子,0:04:00.108000,28,28
符景,0:01:32.401000,17,17
笹野,0:00:34.659000,8,8
笼钓瓶一心,0:11:24.468000,104,104
篠冢,0:00:03.759000,1,1
米勒洛,0:00:21.356000,7,7
米卡,0:37:20.829000,264,264
米尔,0:00:09.151000,2,2
米尔扎,0:00:10.281000,3,3
米歇尔,0:00:28.569000,5,5
米沙勒,0:01:37.016000,15,15
系统音,0:00:02.575000,1,1
素达蓓,0:00:21.089000,4,4
索希,0:00:03.905000,1,1
索拉雅,0:00:02.592000,1,1
索林,0:00:28.857000,10,10
索瑞,0:00:12.563000,3,3
索维格莎,0:00:21.548000,3,3
索赫尔,0:00:05.131000,2,2
紫微,0:00:05.557000,1,1
红豆,0:00:03.095000,1,1
约哈南,0:00:06.897000,2,2
约莲妮,0:00:12.681000,4,4
约里奥,0:00:10.643000,2,2
约顿,0:00:16.724000,4,4
纪芳,0:01:16.017000,15,15
纪香,0:01:53.869000,18,18
纯也,0:04:23.429000,40,40
纱江,0:00:15.605000,2,2
纳兰德拉,0:00:56.717000,7,7
纳吉斯,0:00:08.283000,2,2
纳巴提,0:00:09.963000,2,2
纳杰特,0:00:06.645000,2,2
纳比尔,0:13:26.328000,110,110
纳瓦兹,0:00:06.293000,2,2
纳西妲,2:51:36.851000,1598,1598
纳西尔,0:00:09.140000,2,2
纳赛尔,0:01:29.431000,23,23
纳赫蒂加尔,0:00:09.147000,2,2
纳里曼,0:00:08.360000,2,2
绀田传助,0:00:04.665000,1,1
细心的守卫,0:00:06.713000,3,3
经纶,0:00:31.103000,6,6
结菜,0:00:37.380000,4,4
绘星,0:04:07.179000,41,41
绮命,0:01:08.579000,14,14
绮珊,0:02:07.100000,18,18
绮良良,0:27:30.325000,230,230
维克多,0:00:14,4,4
维勒,0:00:11.273000,5,5
维卡斯,0:02:49.124000,23,23
维多克,0:03:08.635000,26,26
维多利亚,0:05:05.163000,56,56
维尔芒,0:04:00.737000,34,34
维拉夫,0:01:26.732000,13,13
维斯科,0:00:07.156000,2,2
维莱妲,0:00:14.308000,3,3
罗伊斯,0:02:50.884000,33,33
罗伯特,0:00:11.904000,3,3
罗因贾,0:00:10.971000,2,2
罗娅,0:00:36.084000,7,7
罗小妹,0:00:03.924000,1,1
罗巧,0:02:51.185000,23,23
罗斯玛丽,0:00:02.651000,1,1
罗珊,0:00:14.971000,2,2
罗福,0:00:19.109000,3,3
罗纳克,0:01:14.783000,14,14
罗莎娜,0:00:09.551000,3,3
罗莎莉亚,0:22:02.912000,254,254
罗西莫夫,0:00:50.707000,8,8
罗贝尔·乌丹,0:01:15.855000,9,9
美和,0:01:00.244000,11,11
美羽,0:00:04.471000,1,1
美铃,0:01:04.156000,11,11
羽生田千鹤,0:09:20.475000,90,90
翔太,0:00:24.036000,6,6
翠儿,0:00:01.909000,1,1
翠斯塔,0:00:55.171000,9,9
翰学,0:01:39.737000,12,12
老仆,0:00:23.772000,3,3
老克,0:01:40.635000,21,21
老刘伯,0:00:04.065000,1,1
老周叔,0:00:13.267000,2,2
老图,0:00:07.585000,2,2
老墨,0:00:10.244000,2,2
老孙,0:01:50.772000,18,18
老孟,0:06:12.265000,70,70
老成的守卫,0:00:28.287000,4,4
老戴,0:04:33.341000,49,49
老章,0:02:11.503000,19,19
老练的杀手,0:00:21.112000,2,2
老芬奇,0:03:38.933000,33,33
老贾,0:01:26.743000,18,18
老赵,0:00:02.328000,1,1
老郑,0:00:11.364000,3,3
老高,0:02:13.939000,21,21
考什克,0:00:02.892000,1,1
考威尔,0:00:03.717000,1,1
考特里亚,0:03:01.176000,19,19
耶尔米尼,0:00:32.593000,8,8
耶沙法特,0:00:07.777000,3,3
聆听,0:00:23.788000,6,6
聪,0:01:17.425000,12,12
聪子,0:01:23.743000,15,15
聪美,0:00:37.683000,5,5
肯定的观众,0:00:06.824000,2,2
肯特,0:00:40.688000,7,7
胜家,0:00:42.720000,9,9
胡塞尼,0:00:04.705000,1,1
胡尚,0:02:45.935000,35,35
胡桃,1:14:02.940000,661,661
胡瓦,0:00:28.717000,5,5
胡马延,0:00:22.468000,4,4
脑海中回荡的声音,0:00:56.979000,6,6
自信的观众,0:00:28.168000,7,7
舍万,0:00:19.095000,6,6
舍利夫,0:06:31.631000,69,69
舒伯特,0:09:49.996000,86,86
舒杨,0:00:15.272000,3,3
舒茨,0:00:48.476000,12,12
舒莱赫,0:00:21.909000,4,4
般底,0:00:24.388000,3,3
船夫,0:00:13.455000,3,3
良子,0:02:09.364000,21,21
良平,0:00:06.623000,2,2
艾伦,0:03:04.096000,40,40
艾伯特,0:06:03.076000,71,71
