角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
库玛莉,0:00:34.411000,5,5
库珀,0:00:35.347000,7,7
库达里,0:00:40.485000,6,6
库马,0:00:13.263000,3,3
应公,0:00:02.791000,1,1
康介,0:00:22.012000,5,5
康妮,0:00:05.331000,1,1
康拉德,0:00:32.505000,7,7
康明,0:00:15.869000,4,4
康纳,0:09:27.161000,94,94
康胜,0:00:49.180000,10,10
开心的浮游水蕈兽,0:00:03.219000,3,3
异食的守卫,0:00:05.543000,1,1
式大将,0:19:27.461000,182,182
弗拉德,0:00:12.929000,6,6
弗朗西斯,0:00:04.693000,2,2
弗洛朗,0:06:34.588000,85,85
弗莱琪,0:00:08.767000,3,3
弘毅,0:00:02.139000,1,1
张大姐,0:01:11.241000,17,17
张顺,0:00:10.759000,3,3
弥生七月,0:00:05.004000,1,1
弥诺,0:00:05.851000,2,2
强叔,0:00:06.651000,1,1
彦博,0:00:01.943000,1,1
彩香,0:00:55.637000,14,14
彼得,0:00:04.505000,2,2
往日的黑蛇骑士,0:00:19.529000,5,5
徐六石,0:03:12.369000,32,32
御舆源一郎,0:00:19.093000,4,4
御舆源次郎,0:00:05.319000,1,1
御舆长正,0:00:11.303000,2,2
德利瓦,0:00:31.652000,5,5
德安公,0:00:20.781000,4,4
德富,0:00:48.525000,9,9
德尔菲娜,0:00:06.560000,3,3
德帕里,0:00:00.544000,1,1
德拉夫什,0:01:23.669000,13,13
德拉萝诗,0:04:06.791000,29,29
德沃沙克,0:09:26.081000,111,111
德田,0:03:52.580000,45,45
德贵,0:00:02.937000,1,1
德赛,0:00:01.880000,1,1
德长,0:00:10.411000,3,3
忍犬,0:00:06.712000,4,4
志华,0:00:02.408000,1,1
志成,0:00:14.475000,3,3
志村勘兵卫,0:00:25.265000,6,6
志穗,0:00:00.963000,1,1
志织,0:00:32.277000,4,4
忠夫,0:00:55.880000,10,10
忠常,0:00:58.107000,10,10
忠明,0:01:20.075000,13,13
忠胜,0:00:44.421000,12,12
忠诚的侍从,0:02:52.157000,33,33
快刀陈,0:01:16.485000,17,17
快拳阿凌,0:00:02.475000,1,1
快腿罗斯,0:00:02.271000,1,1
怀尔德,0:00:03.221000,1,1
怀疑的观众,0:00:04.952000,1,1
思勤,0:00:14.633000,4,4
思妤,0:00:07.388000,1,1
思思,0:00:05.599000,2,2
思索的观众,0:00:08.808000,1,1
思考的观众,0:00:13.952000,2,2
恍然大悟的观众,0:00:07.829000,2,2
恐慌的佣兵,0:00:04.719000,2,2
恒雄,0:00:45.908000,10,10
恕筠,0:06:47.040000,58,58
恩内斯特,0:00:33.268000,9,9
恩古尔,0:00:12.677000,2,2
恩忒卡,0:00:08.384000,2,2
恰马卡,0:00:16.517000,2,2
恶龙,0:07:01.576000,57,57
悉度,0:00:33.871000,5,5
悠也,0:00:32.385000,6,6
悠策,0:02:07.073000,25,25
悠闲的男子,0:00:08.553000,1,1
悦,0:05:11.271000,44,44
悦子,0:00:01.827000,1,1
悬帆,0:00:01.793000,1,1
情报员,0:00:02.303000,1,1
惊讶的浮游水蕈兽,0:00:01.041000,1,1
惊讶的观众,0:00:28.333000,9,9
惟神晴之介,0:00:53.925000,5,5
意犹未尽的观众,0:00:05.319000,1,1
愚人众,0:00:19.763000,7,7
愚人众先遣队,0:01:39.281000,19,19
愚人众士兵,0:00:19.847000,5,5
愚人众士官,0:01:22.083000,16,16
愚人众新兵,0:00:33.079000,12,12
愚蠢的窃贼,0:01:06.699000,17,17
感慨的观众,0:00:15.764000,2,2
慕胜,0:00:13.675000,4,4
慧心,0:05:07.965000,65,65
戈尔代,0:01:24.049000,19,19
戈尔珊,0:00:06.412000,2,2
戈莉,0:00:23.472000,5,5
戎世,0:00:48.341000,13,13
成濑,0:01:09.181000,16,16
戟,0:00:00.424000,1,1
戴因斯雷布,0:41:42.649000,501,501
戴派,0:01:35.635000,22,22
户田,0:00:12.403000,3,3
所有人,0:01:11.913000,38,38
手岛,0:03:50.455000,27,27
扎伊,0:00:04.299000,2,2
扎凯,0:00:05.265000,2,2
扎卡里亚,0:00:08.056000,2,2
扎莱,0:00:04.461000,2,2
扎蒂斯,0:00:19.043000,5,5
打抱不平的观众,0:00:05.240000,1,1
托克,0:10:37.127000,164,164
托马,1:09:48.008000,905,905
担忧的观众,0:00:07.435000,1,1
拉伊德,0:03:44.172000,37,37
拉凯什,0:00:06.709000,2,2
拉姆齐,0:00:06.181000,1,1
拉巴哈,0:00:51.437000,10,10
拉库马尔,0:00:40.376000,4,4
拉扎克,0:00:08.507000,2,2
拉斯蒂涅,0:00:45.221000,9,9
拉杜,0:00:37.623000,5,5
拉特什,0:00:23.952000,4,4
拉玛,0:00:11.811000,3,3
拉米兹,0:00:11.420000,4,4
拉菲克,0:00:13.560000,4,4
拉贾维,0:00:06.051000,2,2
拉赫曼,0:13:50.652000,133,133
拉韦兰,0:01:12.508000,22,22
拉齐,0:07:02.492000,69,69
拓真,0:01:13.784000,13,13
拜伊,0:00:06.761000,2,2
拜德尔,0:00:19.911000,4,4
挑食的守卫,0:00:03.213000,1,1
振翔,0:00:02.344000,1,1
掇星攫辰天君,0:05:33.112000,63,63
接待员,0:00:13.476000,2,2
推广员,0:01:24.185000,13,13
提克里蒂,0:00:58.039000,14,14
提尔贝特,0:00:40.923000,5,5
提普,0:00:48.572000,10,10
提米,0:00:24.697000,7,7
提纳里,1:31:36.079000,1025,1025
提问者,0:01:52.741000,18,18
摆渡人,0:00:59.321000,15,15
摩可,0:00:01.963000,1,1
摩婕娜,0:00:22.396000,3,3
摸鱼守卫,0:00:12.440000,3,3
撒比特,0:00:06.225000,1,1
支支,0:00:38.449000,8,8
收货人,0:00:01.859000,1,1
效言,0:00:04.048000,1,1
敏锐的武人,0:00:26.827000,3,3
教令院卫兵,0:00:48.004000,15,15
教令院卫队长,0:00:42.457000,8,8
教令院学者,0:00:05.451000,1,1
教令院护卫,0:00:05.104000,1,1
文泽,0:00:02.719000,1,1
文渊,0:01:09.979000,16,16
文璟,0:00:45.635000,8,8
斑目百兵卫,0:01:45.395000,14,14
斯万,0:02:00.544000,30,30
斯嘉莉,0:03:54.724000,43,43
斯坦利,0:06:58.039000,65,65
斯里玛蒂,0:00:51.053000,4,4
新之丞,0:03:09.137000,47,47
旁白,0:15:18.821000,124,124
旋转火蕈兽,0:00:01.232000,1,1
旋转雷蕈兽,0:00:04.716000,3,3
无奈的守卫,0:00:06.103000,1,1
无奈的观众,0:00:06.360000,2,2
无怨,0:00:03.915000,1,1
早柚,1:00:24.203000,624,624
昆恩,0:01:53.588000,28,28
昆钧,0:15:12.341000,149,149
昌信,0:00:15.916000,5,5
昌虎,0:02:00.345000,23,23
昌贵,0:00:29.887000,7,7
明俊,0:01:25.003000,15,15
明博,0:01:09.464000,18,18
昏睡的病患,0:00:12.060000,2,2
星火,0:01:02.311000,14,14
星稀,0:04:23.337000,47,47
星辰君,0:00:04.576000,1,1
春水,0:00:03.259000,1,1
晋优,0:01:48.985000,17,17
晓东,0:00:05.808000,2,2
晓月左卫门十藏,0:00:04.285000,1,1
晓飞,0:00:29.275000,9,9
普吕姆,0:00:02.151000,1,1
普扬,0:00:33.772000,6,6
普热瓦,0:00:04.045000,2,2
普里亚,0:00:16.296000,3,3
普里耶,0:01:04.017000,16,16
景明,0:01:34.132000,17,17
景澄,0:01:01.556000,13,13
智树,0:03:24.488000,49,49
暮夜剧团团长,0:03:12.035000,35,35
暴躁的守卫,0:00:07.889000,2,2
曜,0:00:10.221000,4,4
曼苏尔,0:00:11.999000,2,2
曼达娜,0:00:06.084000,2,2
替班守卫,0:00:19.145000,4,4
月疏,0:00:02.531000,1,1
有乐斋,0:04:48.527000,38,38
有泽,0:01:15,9,9
有翼草本真蕈,0:00:06.332000,5,5
有香,0:00:29.897000,8,8
朋义,0:02:08.575000,24,24
朔次郎,0:02:47.656000,45,45
望月,0:00:03.339000,1,1
望雅,0:04:45.609000,54,54
朝仓,0:00:02.628000,1,1
朝南,0:00:03.356000,1,1
朝雾,0:00:01.220000,1,1
木下,0:00:16.048000,7,7
木南杏奈,0:03:01.216000,40,40
木木,0:02:30.148000,24,24
木村,0:02:42.196000,39,39
木鲁瓦,0:00:17.996000,4,4
未来,0:00:02.637000,1,1
本,0:00:30.863000,6,6
札齐,0:03:06.556000,31,31
朱利亚诺,0:01:05.699000,13,13
朱巴,0:01:20.181000,11,11
朱特,0:01:55.757000,23,23
朱老板,0:01:13.861000,14,14
朱达尔,0:01:49.291000,13,13
朱里厄,0:02:06.073000,31,31
朱陶,0:00:56.816000,8,8
机械螃蟹,0:00:06.964000,5,5
杉山,0:00:03.260000,1,1
杉本,0:00:43.304000,9,9
李丁,0:02:31.923000,28,28
李九郎,0:00:03.820000,1,1
李小虎,0:00:03.800000,1,1
李当,0:01:24.241000,20,20
李晓,0:00:05.699000,2,2
李锤子,0:00:17.363000,3,3
村上,0:00:36.960000,10,10
村山,0:00:02.145000,1,1
村民,0:00:01.603000,2,2
村田,0:02:33.279000,26,26
杜兰,0:00:07.836000,3,3
杜吉耶,0:07:25.069000,64,64
杜拉夫,0:12:41.311000,133,133
杜莎,0:00:02.871000,1,1
杞平,0:00:22.656000,4,4
杰克,0:03:59.468000,57,57
杰夫,0:00:27.633000,5,5
杰娜姬,0:02:03.167000,25,25
杰巴里,0:00:44.636000,10,10
杰拉德,0:00:08.344000,3,3
杰洛尼,0:02:26.927000,36,36
杰萨尔,0:00:44.335000,11,11
杰赫南,0:00:05.216000,2,2
杰里,0:00:04.428000,2,2
松前,0:00:09.240000,2,2
松坂,0:01:19.799000,20,20
松川宗全,0:00:04.315000,1,1
松平,0:00:06.297000,2,2
松本,0:00:24.816000,5,5
松浦,0:05:46.589000,67,67
松田,0:00:39.537000,11,11
松鼠,0:01:36.959000,19,19
林尼,1:34:59.037000,882,882
枫,0:01:39.400000,21,21
枫原万叶,1:37:19.717000,1133,1133
枫原久通,0:00:54.425000,7,7
枫原义庆,0:01:15.069000,7,7
枫原景春,0:02:01.508000,19,19
枭总管,0:00:14.928000,3,3
柊千里,0:10:43.039000,114,114
柊慎介,0:01:51.295000,21,21
某人的喊声,0:00:03.381000,2,2
某人的声音,0:01:40.921000,19,19
柚子,0:00:23.507000,5,5
查尔斯,0:06:57.176000,98,98
查耶维奇,0:00:06.743000,2,2
柯奈尔,0:00:22.801000,6,6
柯莉黛尔,0:00:32.601000,6,6
柯莱,1:11:09.849000,810,810
柳德米拉,0:00:28.447000,9,9
柴毅,0:01:14.140000,14,14
柴田,0:01:57.767000,21,21
柴门二郎,0:00:03.808000,1,1
柴门克巳,0:00:04.132000,1,1
柴门惠理,0:00:07.348000,1,1
格伦德·雪奈茨维奇,0:00:28.412000,6,6
格兰维尔,0:01:34.763000,20,20
格奥尔格,0:00:54.775000,11,11
格拉西亚,0:01:06.977000,13,13
格莱,0:00:12.531000,3,3
格蕾希艾,0:00:01.951000,1,1
格雷戈,0:00:02.837000,1,1
格雷戈尔,0:00:09.699000,3,3
桂一,0:00:40.407000,11,11
桂木,0:00:31.811000,7,7
桃子,0:00:03.253000,1,1
桐本,0:00:03.757000,1,1
桑杰,0:00:05.700000,2,2
桑迪诺,0:00:08.617000,1,1
桥本,0:00:13.893000,3,3
桥西,0:00:01.236000,1,1
梅尔克,0:00:11.819000,3,3
梅瑟娜,0:00:05.793000,2,2
梅薇丝,0:00:08.888000,2,2
梢,0:01:28.760000,18,18
梨绘,0:00:16.684000,4,4
梨香,0:00:02.081000,1,1
梶,0:00:03.443000,2,2
森口,0:00:04.379000,2,2
森彦,0:01:26.713000,23,23
楚仪,0:01:35.380000,21,21
楚婆婆,0:00:07.204000,1,1
楠塔克,0:00:05.343000,1,1
楠楠,0:01:31.528000,23,23
榎本,0:00:57.996000,10,10
模样怪异的士兵,0:00:40.104000,8,8
横山,0:00:21.307000,6,6
欣慰的观众,0:00:04.876000,1,1
欧莉艾尔,0:00:48.944000,9,9
欧菲妮,0:18:57.345000,146,146
歌德,0:00:51.455000,10,10
歌特琳德,0:01:39.281000,22,22
正二,0:00:48.685000,11,11
正人,0:01:21.080000,16,16
正胜,0:00:16.399000,4,4
正茂,0:00:18.524000,5,5
步云,0:00:32.916000,7,7
武士头领,0:00:17.384000,2,2
武沛,0:00:59.485000,13,13
武田,0:00:06.111000,1,1
毅,0:00:47.883000,11,11
母亲,0:00:20.277000,3,3
毓华,0:00:39.131000,10,10
比塔,0:00:03.737000,2,2
比罗,0:01:27.512000,15,15
毕洛,0:00:04.379000,2,2
毗伽尔,0:06:09.263000,61,61
民众,0:00:19.239000,8,8
气泡C,0:00:01.880000,1,1
气泡D,0:00:00.837000,1,1
气泡E,0:00:01.584000,1,1
水手,0:00:01.556000,1,1
水田,0:00:13.107000,2,2
水的声音,0:01:00.981000,9,9
永业,0:00:06.912000,2,2
永安,0:00:39.040000,6,6
永贵,0:00:05.995000,2,2
永野,0:00:31.267000,5,5
汐零,0:00:02.309000,1,1
汝英,0:00:04.843000,2,2
江城,0:00:05.133000,1,1
江舟,0:01:15.796000,16,16
江蓠,0:03:04.160000,27,27
江雪,0:00:08.547000,3,3
池田总四郎,0:00:07.313000,2,2
汤米,0:00:05.164000,1,1
汤雯,0:00:09.861000,2,2
沃恩,0:01:02.253000,14,14
沃特林,0:02:30.959000,30,30
沉思的观众,0:00:35.079000,7,7
沉稳的观众,0:00:07.584000,1,1
沉香,0:00:03.241000,1,1
沐宁,0:00:03.011000,1,1
沐晨,0:00:03.095000,1,1
沙坎,0:01:38.308000,16,16
沙姆斯,0:00:14.915000,4,4
沙寅,0:02:52.904000,26,26
沙扎曼,0:05:12.085000,50,50
沙扬,0:00:04.785000,2,2
沙拉夫,0:00:11.864000,3,3
沙普尔,0:00:08.257000,2,2
沙欣,0:00:09.497000,2,2
沙班达尔,0:00:07.349000,2,2
沙瓦玛,0:00:05.912000,2,2
沙蒂尔,0:00:12.379000,3,3
沙赫布特,0:01:03.229000,17,17
河童,0:02:01.209000,25,25
治一郎,0:00:35.004000,6,6
法乌菈,0:00:23.055000,4,4
法伊兹,0:03:26.765000,34,34
法伯德,0:00:06.713000,2,2
法伽尼,0:00:13.344000,3,3
法加娜,0:00:17.396000,4,4
法卢克,0:00:03.485000,2,2
法哈德,0:02:21.221000,34,34
法图赫,0:00:10.309000,2,2
法尔扎妮,0:00:07.335000,2,2
法尔罗赫,0:01:14.021000,12,12
法拉,0:01:00.111000,10,10
法拉娜,0:03:04.229000,16,16
法拉纳兹,0:00:08.783000,2,2
法莉哈,0:00:08.911000,2,2
法莉巴,0:00:05.305000,2,2
法莎,0:00:01.845000,1,1
法赫尔,0:01:36.252000,17,17
法里德,0:00:09.215000,3,3
法里芭,0:00:08.915000,2,2
波林,0:00:41.565000,11,11
波洛,0:05:40.327000,68,68
泰久,0:00:03.940000,1,1
泰勒,0:00:38.673000,11,11
泰托,0:01:20.749000,16,16
泽田,0:04:53.720000,39,39
泽维尔,0:15:02.516000,158,158
泽轩,0:00:03.541000,1,1
洛伦佐,0:04:49.188000,41,41
洛伽,0:00:01.777000,1,1
洛恩,0:02:46.507000,24,24
洛成,0:01:12.300000,20,20
洛泰尔,0:00:40.033000,5,5
派安,0:00:51.304000,9,9
派恩,0:00:56.424000,9,9
派蒙,20:27:13.908000,18632,18632
流浪者,0:47:23.637000,563,563
浅川,0:00:29.188000,6,6
浅野,0:00:04.284000,2,2
浣溪,0:00:03.940000,1,1
浩仔,0:00:06.712000,3,3
浩司,0:01:00.581000,16,16
浪人,0:00:46.176000,7,7
浮游水蕈兽,0:00:26.547000,17,17
浮游水蕈兽·元素生命,0:14:31.013000,156,156
浮游水蕈兽·努尔,0:00:06.001000,1,1
浮游风蕈兽,0:00:04.092000,3,3
浮游风蕈兽·元素生命,0:02:28.492000,31,31
浮舍,0:00:19.597000,7,7
海伦,0:00:02.656000,1,1
海伯,0:00:16.235000,2,2
海妮耶,0:09:31.301000,87,87
海娜,0:00:12.209000,4,4
海宁,0:00:48.720000,13,13
海斗,0:00:37.195000,9,9
海祇岛众人,0:00:02.951000,1,1
海老名权四郎,0:00:05.288000,2,2
海芭夏,0:11:01.828000,107,107
海莉,0:00:02.256000,1,1
海达,0:00:32.015000,11,11
海迪夫,0:00:01.174000,1,1
海龙,0:01:04.688000,15,15
淑之,0:00:02.676000,1,1
淮安,0:03:25.763000,39,39
深渊使徒,0:06:24.417000,44,44
深渊司铎,0:00:08.773000,2,2
深渊法师,0:05:12.971000,53,53
深见,0:01:03.537000,13,13
混乱的观众,0:00:07.996000,1,1
清人,0:00:19.719000,4,4
清刚,0:01:08.109000,14,14
清子,0:00:02.219000,1,1
清惠,0:01:11.247000,14,14
清昼,0:00:06.095000,1,1
清水,0:01:05.675000,12,12
清涟,0:00:08.772000,2,2
渡边,0:00:02.671000,2,2
渡部,0:01:27.409000,18,18
温柔的女声,0:00:10.931000,1,1
温迪,1:43:04.012000,1247,1247
游客,0:00:05.985000,2,2
溜溜,0:00:40.820000,10,10
滑头鬼,0:00:02.707000,1,1
满,0:00:07.071000,2,2
潮哥,0:00:58.987000,11,11
潮汐,0:00:02.761000,1,1
澜阳,0:00:29.756000,7,7
激动的观众,0:00:02.900000,1,1
火炽之心,0:01:23.107000,14,14
烟绯,1:01:59.771000,655,655
熙德拉,0:00:33.800000,6,6
爱德琳,0:11:02.264000,123,123
爱洛芙,0:00:33.249000,10,10
爱贝尔,0:31:30.005000,235,235
父亲,0:00:15.419000,2,2
片山,0:00:02.081000,1,1
牙,0:00:00.676000,1,1
牛志,0:00:12.803000,3,3
特洛黛,0:00:02.161000,1,1
特瓦林,0:00:09.475000,2,2
特纳,0:03:31.300000,34,34
犬少将,0:00:04.685000,3,3
犹豫的佣兵,0:00:01.423000,1,1
狐妖,0:03:09.432000,40,40
狗三儿,0:01:36.813000,22,22
独孤朔,0:03:09.599000,33,33
独眼小僧,0:02:17.188000,36,36
狼哥,0:01:51.677000,25,25
玄三,0:00:03.257000,1,1
玉霞,0:00:03.183000,1,1
王扳子,0:00:14.869000,3,3
玛乔丽,0:09:12.192000,114,114
玛亚姆,0:00:06.409000,2,2
玛克林,0:00:03.184000,1,1
玛塔莉,0:00:07.351000,4,4
玛塞勒,0:09:11.073000,91,91
玛尔瓦,0:00:23.135000,5,5
玛希德,0:00:17.193000,4,4
玛德琳,0:00:37.029000,7,7
玛拉,0:00:12.869000,3,3
玛文,0:01:57.487000,18,18
玛格丽特,0:10:06.137000,96,96
玛维斯,0:01:01.923000,11,11
玛蕾蒂,0:01:25.295000,13,13
玛赫菲,0:00:09.383000,3,3
玛达赫,0:03:10.093000,29,29
玥文,0:00:11.609000,2,2
玥辉,0:02:35.264000,27,27
玫莉莎,0:00:08.827000,1,1
玲花,0:00:45.745000,9,9
玲菜,0:00:36.241000,6,6
玻瑞亚斯,0:03:31.032000,27,27
珀姆,0:00:08.275000,2,2
珊瑚,0:06:27.564000,78,78
珊瑚宫心海,1:09:39.569000,742,742
珐露珊,1:15:10.895000,651,651
珐露珊母亲,0:01:50.283000,10,10
珠函,0:02:31.503000,33,33
班卡,0:00:06.467000,3,3
班尼特,0:53:16.743000,691,691
班达克,0:00:13.939000,7,7
理性的观众,0:00:03.977000,1,1
理正,0:00:20.963000,4,4
理水叠山真君,0:03:43.483000,33,33
琪娜特,0:00:07.084000,2,2
琬玉,0:00:41.068000,9,9
琳,0:01:25.325000,28,28
琳妮特,0:23:05.605000,280,280
琳琅,0:02:30.124000,26,26
琳阳,0:00:02.100000,1,1
琴,0:51:14.403000,701,701
琴美,0:00:11.029000,7,7
琼斯,0:00:08.656000,2,2
瑛太,0:00:20.084000,5,5
瑞安维尔,0:02:07.808000,16,16
瑞尔维安,0:02:07.808000,16,16
瑞锦,0:00:01.917000,1,1
瑶瑶,0:19:55.151000,199,199
瑾武,0:00:01.681000,1,1
璃彩,0:00:02.300000,1,1
璐璐,0:00:24.464000,7,7
瓦京,0:00:20.485000,5,5
瓦伊兹,0:00:45.409000,8,8
瓦妮塔,0:00:03.671000,1,1
瓦尔坦,0:00:08.603000,2,2
瓦希德,0:00:17.803000,3,3
瓦格纳,0:01:27.307000,26,26
瓦菲格,0:00:05.637000,1,1
甄强,0:00:02.337000,1,1
甘乐,0:00:03.109000,1,1
甘珠尔,0:00:02.321000,1,1
甘雨,0:48:38.317000,513,513
甜甜,0:00:02.497000,1,1
用高,0:00:30.872000,4,4
田铁嘴,0:09:10.121000,61,61
由宇,0:00:25.745000,4,4
由真,0:00:17.113000,4,4
甲斐田龙马,0:00:31.629000,7,7
申鹤,0:30:06.421000,362,362
男声,0:00:06.888000,1,1
男子汉杰克,0:00:02.389000,1,1
男性信众,0:00:43.892000,9,9
畅畅,0:02:15.355000,28,28
畑中,0:00:41.115000,10,10
留云借风真君,0:28:23.088000,236,236
疑惑的浮游水蕈兽,0:00:00.672000,1,1
疑惑的观众,0:00:42.740000,11,11
疲惫的村民,0:00:15.581000,4,4
白井,0:00:11.237000,2,2
白术,0:38:13.201000,362,362
白色的蛇,0:00:16.456000,2,2
百合华,0:00:27.398000,8,8
百晓,0:01:31.195000,18,18
百识,0:04:19.789000,48,48
百闻,0:05:18.947000,64,64
皮塔尔,0:00:25.896000,3,3
皮特,0:03:10.004000,46,46
皮雅,0:00:36.835000,8,8
盈丰,0:01:18.719000,26,26
盈珠,0:00:06.001000,1,1
盖伊,0:00:16.968000,5,5
盖曼,0:00:05.536000,1,1
盗宝团,0:00:02.500000,1,1
盗宝团「呱」,0:00:15.149000,4,4
盗宝团「鸦」,0:00:34.593000,7,7
盗宝团众,0:00:03.147000,1,1
直江久政,0:00:01.948000,1,1
看守,0:00:08.379000,3,3
真,0:01:42.835000,16,16
真昼,0:01:04.367000,10,10
真理,0:00:06.105000,2,2
真田,0:00:04.520000,1,1
眼神凛冽的夜鸦,0:00:20.931000,5,5
矢田幸喜,0:00:52.269000,10,10
矢部,0:00:32.983000,7,7
知易,0:05:49.304000,56,56
石原,0:00:18.845000,3,3
石壮,0:01:33.861000,17,17
石头,0:08:03.077000,64,64
石崎,0:00:42.533000,12,12
石川,0:00:03.024000,1,1
石榴,0:00:02.509000,1,1
石田,0:00:24.534000,8,8
矿工,0:00:26.005000,5,5
砂糖,1:00:05.624000,624,624
碧波,0:00:04.625000,1,1
礼安,0:00:07.320000,3,3
祖莉亚·德斯特雷,0:10:58.689000,75,75
祝明,0:00:14.561000,3,3
神,0:00:09.091000,2,2
神奇的霍普金斯,0:00:57.012000,17,17
神情严肃的夜鸦,0:00:12.949000,7,7
神里绫人,0:54:49.308000,580,580
神里绫华,1:19:54.192000,884,884
祥生,0:00:30.972000,10,10
禁闭室,0:00:39.315000,8,8
福图赫,0:00:04.868000,2,2
福本,0:00:17.763000,5,5
福迪尔,0:00:10.203000,2,2
福阿德,0:00:03.727000,2,2
秀华,0:00:05.453000,3,3
秀夫,0:01:09.961000,17,17
秋人,0:00:14.939000,3,3
秋月,0:00:40.381000,9,9
秋歌,0:00:03.824000,1,1
秋蔚,0:00:05.425000,2,2
科尔特,0:08:47.417000,85,85
科拉莉,0:02:26.972000,21,21
科林斯,0:04:49.693000,58,58
秦夫人,0:00:03.416000,1,1
程杆子,0:00:02.351000,1,1
稻城萤美,0:02:17.525000,29,29
稻生,0:01:55.644000,26,26
穆妮尔,0:00:47.215000,11,11
穆泰尔,0:00:35.241000,7,7
穆甘纳,0:00:03.831000,1,1
空,1:57:10.832000,374,374
窃贼「捷思」,0:00:14.167000,3,3
窃贼「疾手」,0:00:06.216000,2,2
立本,0:03:19.483000,30,30
竟达,0:00:01.376000,1,1
竹内,0:00:24.540000,5,5
竹叔,0:00:09.912000,2,2
竹谷,0:00:03.572000,2,2
竺子,0:02:50.889000,28,28
符景,0:01:07.812000,17,17
笹野,0:00:32.804000,8,8
笼钓瓶一心,0:09:19.317000,104,104
篠冢,0:00:03.655000,1,1
米勒洛,0:00:19.213000,7,7
米卡,0:28:36.877000,264,264
米哈伊尔,0:00:19.423000,9,9
米尔,0:00:08.329000,2,2
米尔扎,0:00:07.821000,3,3
米歇尔,0:00:27.069000,5,5
米沙勒,0:01:17.032000,15,15
系统音,0:00:02.592000,1,1
素达蓓,0:00:19.780000,4,4
索希,0:00:02.716000,1,1
索拉雅,0:00:03.176000,1,1
索林,0:00:20.332000,10,10
索瑞,0:00:11.161000,3,3
索维格莎,0:00:24.155000,3,3
索赫尔,0:00:05.301000,2,2
紫微,0:00:03.207000,1,1
红豆,0:00:03.027000,1,1
约哈南,0:00:07.499000,2,2
约莲妮,0:00:10.548000,4,4
约里奥,0:00:09.201000,2,2
约顿,0:00:11.073000,4,4
纪芳,0:01:01.797000,15,15
纪香,0:01:37.345000,18,18
纯也,0:03:40.369000,40,40
纯水精灵,0:08:10.247000,50,50
纱江,0:00:14.076000,2,2
纳兰德拉,0:00:50.569000,7,7
纳吉斯,0:00:05.779000,2,2
纳巴提,0:00:06.317000,2,2
纳杰特,0:00:06.739000,2,2
纳比尔,0:11:00.993000,110,110
纳瓦兹,0:00:05.723000,2,2
纳西妲,2:39:43.539000,1609,1609
纳西尔,0:00:07.997000,2,2
纳赛尔,0:01:29.855000,23,23
纳赫蒂加尔,0:00:05.521000,2,2
纳里曼,0:00:04.817000,2,2
绀田传助,0:00:03.800000,1,1
细心的守卫,0:00:07.297000,3,3
经纶,0:00:23.033000,6,6
结菜,0:00:25.172000,4,4
绘星,0:03:49.856000,41,41
绮命,0:01:11.753000,14,14
绮珊,0:01:33.725000,18,18
绮良良,0:25:07.880000,230,230
维克多,0:00:17.604000,4,4
维勒,0:00:12.975000,5,5
维卡斯,0:02:27.431000,23,23
维多克,0:02:55.139000,26,26
维多利亚,0:04:29.617000,56,56
维尔芒,0:03:11.144000,34,34
维拉夫,0:01:18.355000,13,13
维斯科,0:00:07.116000,2,2
维莱妲,0:00:14.692000,3,3
罗伊斯,0:02:34.336000,34,34
罗伯特,0:00:10.189000,3,3
罗因贾,0:00:12.423000,2,2
罗娅,0:00:29.835000,7,7
罗小妹,0:00:01.747000,1,1
罗巧,0:02:00.495000,23,23
罗斯玛丽,0:00:02.657000,1,1
罗珊,0:00:12.309000,2,2
罗福,0:00:14.592000,3,3
罗纳克,0:01:10.743000,14,14
罗莎娜,0:00:09.843000,3,3
罗莎莉亚,0:21:22.149000,253,253
罗西莫夫,0:00:35.137000,8,8
罗贝尔·乌丹,0:01:08.745000,9,9
美和,0:00:49.639000,11,11
美羽,0:00:01.850000,1,1
美铃,0:00:47.456000,11,11
羽生田千鹤,0:07:45.260000,90,90
翔太,0:00:20.464000,6,6
翠儿,0:00:03.232000,1,1
翠斯塔,0:00:39.704000,9,9
翰学,0:01:21.628000,12,12
老仆,0:00:29.072000,3,3
老克,0:01:33.345000,21,21
老刘伯,0:00:06.529000,1,1
老周叔,0:00:10.945000,2,2
老图,0:00:05.543000,2,2
老墨,0:00:09.919000,2,2
老大,0:00:19.120000,3,3
老孙,0:01:32.117000,18,18
老孟,0:05:23.244000,70,70
老成的守卫,0:00:31.747000,4,4
老戴,0:04:02.843000,49,49
老章,0:01:44.829000,19,19
老练的杀手,0:00:15.465000,2,2
老芬奇,0:02:52.416000,33,33
老贾,0:01:37.623000,18,18
老赵,0:00:02.679000,1,1
老郑,0:00:05.765000,2,2
老高,0:02:03.360000,21,21
考什克,0:00:03.233000,1,1
考威尔,0:00:02.916000,1,1
考特里亚,0:02:34.559000,19,19
耕一,0:02:05.061000,23,23
耶尔米尼,0:00:32.028000,8,8
耶沙法特,0:00:07.381000,3,3
聪,0:00:53.643000,12,12
聪子,0:01:14.620000,15,15
聪美,0:00:35.957000,5,5
肯定的观众,0:00:04.972000,2,2
肯特,0:00:32.687000,7,7
胜家,0:00:40.633000,9,9
